Month,Options,Charts,Last,Change,Prior Settle,Open,High,Low,Volume,Hi / Low Limit,Updated
"

Legend:
Options
Price Chart
About This Report

"
"
JUN 2017
","
JUN 2017
","

Show Price Chart

",2428.50,0.00,2428.50,2428.75,2429.00,2427.25,"1,682",2549.50 / 2307.50,17:49:07 CT 12 Jun 2017
"
SEP 2017
","
SEP 2017
","

Show Price Chart

",2426.25,-0.25,2426.50,2426.50,2426.75,2425.25,"4,128",2547.50 / 2305.50,17:49:28 CT 12 Jun 2017
"
DEC 2017
","
DEC 2017
","

Show Price Chart

",-,-,2423.75,-,-,-,0,2545.00 / 2303.00,17:32:35 CT 12 Jun 2017
"
MAR 2018
","
MAR 2018
","

Show Price Chart

",-,-,2422.00,-,-,-,0,2543.00 / 2301.00,17:35:33 CT 12 Jun 2017
"
JUN 2018
","
JUN 2018
","

Show Price Chart

",-,-,2423.00,-,-,-,0,2544.00 / 2302.00,17:08:50 CT 12 Jun 2017
"
SEP 2018
","
SEP 2018
","

Show Price Chart

",-,-,0.00,-,-,-,0,119.50 / -123.50,16:45:00 CT 12 Jun 2017
